Author,Novel,Position,Length
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12355,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20847,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,6599,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12035,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,9006,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5913,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,9649,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8785,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,186,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,22250,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8985,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,215,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,17210,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,4425,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,14822,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11329,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5146,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7747,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,17249,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,11169,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,741,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7985,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12657,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,14236,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,7782,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7023,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,3344,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,7149,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,10971,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,10800,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,170,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,14279,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12817,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,6061,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,14094,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,7179,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,23662,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12491,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20901,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18851,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,139,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,13978,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,3304,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5902,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8834,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11011,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,9918,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,5175,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,2031,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12480,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12898,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,4016,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20563,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12615,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,3450,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8965,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11501,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,4608,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,4991,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12743,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,8190,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,14099,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,2728,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,21007,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12783,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11821,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8039,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,10839,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,3959,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,7737,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,3703,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,8157,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,10202,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,4795,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,11645,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,23923,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,19528,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,13833,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,8284,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,1680,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11197,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18031,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7684,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18735,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,16927,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,23685,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,4736,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,9710,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7873,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,14173,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,22528,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,1020,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,23079,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,488,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,3994,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,760,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,19491,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,16502,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,6166,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5111,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,17122,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,7566,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,13682,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5599,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,1028,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,249,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,10156,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,3666,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,8832,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,3279,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,13669,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20533,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,1077,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5353,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11455,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,633,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11484,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8057,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12568,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,11534,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,14490,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,810,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,19018,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12497,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11058,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12312,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,2427,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,7228,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,17010,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,1537,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20110,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18437,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12102,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,4187,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,16655,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18711,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,10923,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,6005,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8753,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12545,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,6003,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,2649,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,5876,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,1199,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,11218,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,11236,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8671,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,1689,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18124,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,23193,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,22952,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,8563,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,1867,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,10955,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,13154,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,12533,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,19492,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,5633,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18139,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,8707,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,18731,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,10245,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,3700,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,20499,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,19967,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,6318,350
Charles Dickens,The Life And Adventures Of Nicholas Nickleby,15036,304
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,12677,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,5448,350
Charles Dickens,Barnaby Rudge  A Tale Of The Riots Of Eighty,17538,350
Oscar Wilde,Lady Windermere's Fan,2441,350
Oscar Wilde,The Picture of Dorian Gray,2804,350
Oscar Wilde,The Importance of Being Earnest A Trivial Comedy for Serious People,2377,350
Oscar Wilde,The Importance of Being Earnest A Trivial Comedy for Serious People,1319,350
Oscar Wilde,The Importance of Being Earnest A Trivial Comedy for Serious People,608,350
