Author,Novel,Position,Length
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",645,200
Гоголь,Выбранные места из переписки с друзьями,2765,200
Гоголь,Мертвые души Том первый,578,200
Гоголь,Выбранные места из переписки с друзьями,3098,154
Гоголь,Выбранные места из переписки с друзьями,660,200
Гоголь,Мертвые души Том первый,2193,200
Гоголь,Выбранные места из переписки с друзьями,2403,200
Гоголь,Мертвые души Том первый,3349,200
Гоголь,Мертвые души Том первый,2537,200
Гоголь,Выбранные места из переписки с друзьями,827,200
Гоголь,Мертвые души Том первый,412,200
Гоголь,Выбранные места из переписки с друзьями,2907,200
Гоголь,Выбранные места из переписки с друзьями,2969,200
Гоголь,Портрет,111,200
Гоголь,Выбранные места из переписки с друзьями,1321,200
Гоголь,Выбранные места из переписки с друзьями,3013,200
Гоголь,Выбранные места из переписки с друзьями,2452,200
Гоголь,Записки сумасшедшего,197,200
Гоголь,Портрет,254,200
Гоголь,Мертвые души Том первый,740,200
Гоголь,Выбранные места из переписки с друзьями,1529,200
Гоголь,Мертвые души Том первый,2621,200
Гоголь,Выбранные места из переписки с друзьями,144,200
Гоголь,Портрет,498,200
Гоголь,Мертвые души Том первый,420,200
Гоголь,Мертвые души Том первый,1324,200
Гоголь,Мертвые души Том первый,2666,200
Гоголь,Записки сумасшедшего,296,200
Гоголь,Мертвые души Том первый,2252,200
Гоголь,Мертвые души Том первый,1048,200
Гоголь,Выбранные места из переписки с друзьями,1473,200
Гоголь,Выбранные места из переписки с друзьями,428,200
Гоголь,Портрет,512,200
Гоголь,Рим,66,200
Гоголь,Портрет,364,200
Гоголь,Мертвые души Том первый,806,200
Гоголь,Мертвые души Том первый,2313,200
Гоголь,Мертвые души Том первый,3779,200
Гоголь,Мертвые души Том первый,1916,200
Гоголь,Мертвые души Том первый,1053,200
Гоголь,Мертвые души Том первый,3826,160
Гоголь,Мертвые души Том первый,656,200
Гоголь,Мертвые души Том первый,2784,200
Гоголь,Мертвые души Том первый,2327,200
Гоголь,Мертвые души Том первый,1568,200
Гоголь,Выбранные места из переписки с друзьями,218,200
Гоголь,Портрет,84,200
Гоголь,Выбранные места из переписки с друзьями,790,200
Гоголь,Мертвые души Том первый,2985,200
Гоголь,Мертвые души Том первый,2736,200
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",823,173
Гоголь,Мертвые души Том первый,363,200
Гоголь,Мертвые души Том первый,2471,200
Гоголь,Портрет,250,200
Гоголь,Выбранные места из переписки с друзьями,1873,200
