Author,Novel,Position,Length
Гоголь,Мертвые души Том первый,1642,300
Гоголь,Мертвые души Том первый,1306,300
Гоголь,Выбранные места из переписки с друзьями,750,300
Гоголь,Мертвые души Том первый,548,300
Гоголь,Записки сумасшедшего,195,300
Гоголь,Мертвые души Том первый,1679,300
Гоголь,Мертвые души Том первый,657,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",153,300
Гоголь,Мертвые души Том первый,2342,300
Гоголь,Мертвые души Том первый,503,300
Гоголь,Выбранные места из переписки с друзьями,490,300
Гоголь,Мертвые души Том первый,3049,300
Гоголь,Мертвые души Том первый,3,300
Гоголь,Мертвые души Том первый,671,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",690,300
Гоголь,Выбранные места из переписки с друзьями,1946,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",255,300
Гоголь,Мертвые души Том первый,1121,300
Гоголь,Портрет,713,234
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",392,300
Гоголь,Портрет,617,300
Гоголь,Мертвые души Том первый,2133,300
Гоголь,Выбранные места из переписки с друзьями,2557,300
Гоголь,Мертвые души Том первый,2628,300
Гоголь,Выбранные места из переписки с друзьями,1234,300
Гоголь,Мертвые души Том первый,1574,300
Гоголь,Мертвые души Том первый,1080,300
Гоголь,Записки сумасшедшего,365,228
Гоголь,Выбранные места из переписки с друзьями,976,300
Гоголь,Мертвые души Том первый,2924,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",118,300
Гоголь,Выбранные места из переписки с друзьями,826,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",81,300
Гоголь,Мертвые души Том первый,1352,300
Гоголь,Выбранные места из переписки с друзьями,1186,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",504,300
Гоголь,Записки сумасшедшего,130,300
Гоголь,Мертвые души Том первый,2892,300
Гоголь,Рим,80,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",165,300
Гоголь,Выбранные места из переписки с друзьями,67,300
Гоголь,Мертвые души Том первый,1083,300
Гоголь,Выбранные места из переписки с друзьями,187,300
Гоголь,Портрет,136,300
Гоголь,Мертвые души Том первый,2380,300
Гоголь,Портрет,126,300
Гоголь,Выбранные места из переписки с друзьями,158,300
Гоголь,Мертвые души Том первый,1821,300
Гоголь,Выбранные места из переписки с друзьями,2538,300
Гоголь,Мертвые души Том первый,1419,300
Гоголь,Выбранные места из переписки с друзьями,1842,300
Гоголь,Мертвые души Том первый,3213,300
Гоголь,Записки сумасшедшего,34,300
Гоголь,Портрет,286,300
Гоголь,Выбранные места из переписки с друзьями,1908,300
Гоголь,Портрет,97,300
Гоголь,Портрет,626,300
Гоголь,Мертвые души Том первый,3492,300
Гоголь,Выбранные места из переписки с друзьями,949,300
Гоголь,Выбранные места из переписки с друзьями,1895,300
Гоголь,Выбранные места из переписки с друзьями,1088,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",655,300
Гоголь,Мертвые души Том первый,1463,300
Гоголь,Выбранные места из переписки с друзьями,1652,300
Гоголь,Записки сумасшедшего,182,300
Гоголь,Выбранные места из переписки с друзьями,1179,300
Гоголь,Мертвые души Том первый,2484,300
Гоголь,Мертвые души Том первый,2952,300
Гоголь,Мертвые души Том первый,1972,300
Гоголь,Мертвые души Том первый,1016,300
Гоголь,Выбранные места из переписки с друзьями,1613,300
Гоголь,Мертвые души Том первый,335,300
Гоголь,Выбранные места из переписки с друзьями,1403,300
Гоголь,Выбранные места из переписки с друзьями,2881,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",561,300
Гоголь,Рим,1,300
Гоголь,Выбранные места из переписки с друзьями,500,300
Гоголь,Мертвые души Том первый,1586,300
Гоголь,Портрет,158,300
Гоголь,Выбранные места из переписки с друзьями,490,300
Гоголь,Выбранные места из переписки с друзьями,603,300
Гоголь,Портрет,421,300
Гоголь,Мертвые души Том первый,1789,300
Гоголь,Мертвые души Том первый,3615,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",641,300
Гоголь,Мертвые души Том первый,2799,300
Гоголь,Выбранные места из переписки с друзьями,100,300
Гоголь,Портрет,481,300
Гоголь,Выбранные места из переписки с друзьями,2419,300
Гоголь,Мертвые души Том первый,2157,300
Гоголь,Выбранные места из переписки с друзьями,2415,300
Гоголь,Выбранные места из переписки с друзьями,423,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",276,300
Гоголь,Мертвые души Том первый,2940,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",588,300
Гоголь,Мертвые души Том первый,3137,300
Гоголь,Выбранные места из переписки с друзьями,2747,300
Гоголь,Мертвые души Том первый,1816,300
Гоголь,Мертвые души Том первый,3244,300
Гоголь,Выбранные места из переписки с друзьями,1639,300
Гоголь,Мертвые души Том первый,419,300
Гоголь,Рим,108,300
Гоголь,Портрет,195,300
Гоголь,Мертвые души Том первый,396,300
Гоголь,Мертвые души Том первый,598,300
Гоголь,Выбранные места из переписки с друзьями,1212,300
Гоголь,Мертвые души Том первый,1594,300
Гоголь,Выбранные места из переписки с друзьями,1419,300
Гоголь,Мертвые души Том первый,174,300
Гоголь,Мертвые души Том первый,1643,300
Гоголь,Портрет,317,300
Гоголь,Портрет,605,300
Гоголь,Выбранные места из переписки с друзьями,1431,300
Гоголь,Портрет,410,300
Гоголь,Портрет,664,283
Гоголь,Мертвые души Том первый,1047,300
Гоголь,Выбранные места из переписки с друзьями,2156,300
Гоголь,Выбранные места из переписки с друзьями,1530,300
Гоголь,Выбранные места из переписки с друзьями,2459,300
Гоголь,Портрет,650,297
Гоголь,Мертвые души Том первый,340,300
Гоголь,Рим,121,300
Гоголь,Мертвые души Том первый,260,300
Гоголь,Выбранные места из переписки с друзьями,1953,300
Гоголь,Выбранные места из переписки с друзьями,2857,300
Гоголь,Выбранные места из переписки с друзьями,361,300
Гоголь,Выбранные места из переписки с друзьями,3020,232
Гоголь,Мертвые души Том первый,3661,300
Гоголь,Мертвые души Том первый,2833,300
Гоголь,Мертвые души Том первый,3585,300
Гоголь,Выбранные места из переписки с друзьями,2606,300
Гоголь,Выбранные места из переписки с друзьями,1773,300
Гоголь,Выбранные места из переписки с друзьями,1108,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",448,300
Гоголь,Выбранные места из переписки с друзьями,2625,300
Гоголь,Выбранные места из переписки с друзьями,1706,300
Гоголь,Выбранные места из переписки с друзьями,2206,300
Гоголь,Выбранные места из переписки с друзьями,1158,300
Гоголь,Мертвые души Том первый,2382,300
Гоголь,Мертвые души Том первый,2474,300
Гоголь,Записки сумасшедшего,119,300
Гоголь,Выбранные места из переписки с друзьями,2326,300
Гоголь,Выбранные места из переписки с друзьями,446,300
Гоголь,Выбранные места из переписки с друзьями,1657,300
Гоголь,Мертвые души Том первый,262,300
Гоголь,Выбранные места из переписки с друзьями,1403,300
Гоголь,Выбранные места из переписки с друзьями,3006,246
Гоголь,Выбранные места из переписки с друзьями,209,300
Гоголь,Выбранные места из переписки с друзьями,3023,229
Гоголь,Выбранные места из переписки с друзьями,1665,300
Гоголь,Мертвые души Том первый,3024,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",274,300
Гоголь,Портрет,60,300
Гоголь,Мертвые души Том первый,3051,300
Гоголь,Мертвые души Том первый,2504,300
Гоголь,Портрет,47,300
Гоголь,Выбранные места из переписки с друзьями,1786,300
Гоголь,Выбранные места из переписки с друзьями,2922,300
Гоголь,Мертвые души Том первый,3028,300
Гоголь,Выбранные места из переписки с друзьями,2436,300
Гоголь,Выбранные места из переписки с друзьями,558,300
Гоголь,Мертвые души Том первый,736,300
Гоголь,Выбранные места из переписки с друзьями,2769,300
Гоголь,Мертвые души Том первый,2922,300
Гоголь,Выбранные места из переписки с друзьями,2552,300
Гоголь,Рим,56,300
Гоголь,Выбранные места из переписки с друзьями,1408,300
Гоголь,Мертвые души Том первый,1055,300
Гоголь,Выбранные места из переписки с друзьями,2646,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",289,300
Гоголь,Мертвые души Том первый,996,300
Гоголь,Выбранные места из переписки с друзьями,1243,300
Гоголь,Выбранные места из переписки с друзьями,2470,300
Гоголь,Мертвые души Том первый,3222,300
Гоголь,Выбранные места из переписки с друзьями,2734,300
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",706,290
